DateTime,25.0 82.0
2020-01-01,16.7079
2020-01-02,20.1715
2020-01-03,20.4511
2020-01-04,18.9865
2020-01-05,19.8099
2020-01-06,23.1780
2020-01-07,24.0728
2020-01-08,19.4634
2020-01-09,18.4705
2020-01-10,17.4301
2020-01-11,19.9622
2020-01-12,22.0089
2020-01-13,24.1197
2020-01-14,24.6974
2020-01-15,23.6039
2020-01-16,22.6605
2020-01-17,21.0162
2020-01-18,20.1981
2020-01-19,18.0415
2020-01-20,20.8437
2020-01-21,21.8513
2020-01-22,21.7839
2020-01-23,21.9944
2020-01-24,21.9457
2020-01-25,22.4596
2020-01-26,23.1423
2020-01-27,25.6258
2020-01-28,25.6469
2020-01-29,25.2000
2020-01-30,22.0441
2020-01-31,21.9220
2020-02-01,22.7997
2020-02-02,21.9395
2020-02-03,22.8927
2020-02-04,19.9320
2020-02-05,22.9094
2020-02-06,23.5012
2020-02-07,21.4627
2020-02-08,22.4261
2020-02-09,23.1577
2020-02-10,24.4333
2020-02-11,24.8281
2020-02-12,25.4891
2020-02-13,27.9151
2020-02-14,27.9411
2020-02-15,26.9488
2020-02-16,27.2585
2020-02-17,27.6658
2020-02-18,25.5258
2020-02-19,29.7817
2020-02-20,29.5520
2020-02-21,28.2959
2020-02-22,26.9779
2020-02-23,27.3006
2020-02-24,25.9605
2020-02-25,24.8854
2020-02-26,25.6555
2020-02-27,26.9206
2020-02-28,27.7998
2020-02-29,29.5448
2020-03-01,27.5749
2020-03-02,29.0224
2020-03-03,29.7211
2020-03-04,29.6297
2020-03-05,28.9485
2020-03-06,28.5925
2020-03-07,27.3345
2020-03-08,27.2153
2020-03-09,27.5253
2020-03-10,24.2480
2020-03-11,29.1781
2020-03-12,31.2472
2020-03-13,27.2269
2020-03-14,26.7232
2020-03-15,26.9259
2020-03-16,28.1009
2020-03-17,29.6472
2020-03-18,30.6068
2020-03-19,28.4649
2020-03-20,32.7144
2020-03-21,30.3501
2020-03-22,32.1900
2020-03-23,33.4890
2020-03-24,34.3344
2020-03-25,34.7888
2020-03-26,34.4250
2020-03-27,30.5420
2020-03-28,32.0497
2020-03-29,33.4991
2020-03-30,34.3764
2020-03-31,35.9515
2020-04-01,37.1954
2020-04-02,36.3206
2020-04-03,35.3182
2020-04-04,35.4101
2020-04-05,36.7839
2020-04-06,38.3924
2020-04-07,38.1169
2020-04-08,37.2465
2020-04-09,37.1916
2020-04-10,38.2490
2020-04-11,38.9009
2020-04-12,39.0222
2020-04-13,39.6431
2020-04-14,40.5058
2020-04-15,39.9590
2020-04-16,40.6314
2020-04-17,40.6317
2020-04-18,38.5437
2020-04-19,39.1744
2020-04-20,37.4583
2020-04-21,36.2923
2020-04-22,36.7885
2020-04-23,36.6722
2020-04-24,37.0114
2020-04-25,37.0463
2020-04-26,35.1193
2020-04-27,34.1066
2020-04-28,34.9939
2020-04-29,35.0698
2020-04-30,37.1688
2020-05-01,36.5456
2020-05-02,37.7841
2020-05-03,38.9003
2020-05-04,37.8024
2020-05-05,35.9174
2020-05-06,37.1379
2020-05-07,37.0196
2020-05-08,39.5812
2020-05-09,39.8376
2020-05-10,39.1379
2020-05-11,36.3564
2020-05-12,36.7825
2020-05-13,38.9795
2020-05-14,39.5479
2020-05-15,40.7126
2020-05-16,40.6291
2020-05-17,41.3010
2020-05-18,40.7652
2020-05-19,40.3152
2020-05-20,39.9588
2020-05-21,40.8118
2020-05-22,43.3419
2020-05-23,43.6737
2020-05-24,45.0467
2020-05-25,45.2132
2020-05-26,45.1916
2020-05-27,44.7325
2020-05-28,40.7360
2020-05-29,38.7410
2020-05-30,38.7548
2020-05-31,37.9593
2020-06-01,38.1803
2020-06-02,34.3692
2020-06-03,34.5697
2020-06-04,30.3342
2020-06-05,29.3442
2020-06-06,34.9368
2020-06-07,37.0096
2020-06-08,38.0662
2020-06-09,39.7295
2020-06-10,40.1334
2020-06-11,39.2852
2020-06-12,38.4782
2020-06-13,37.4302
2020-06-14,36.2187
2020-06-15,35.6664
2020-06-16,35.4327
2020-06-17,34.2603
2020-06-18,34.2346
2020-06-19,34.1493
2020-06-20,34.5643
2020-06-21,33.1799
2020-06-22,33.1801
2020-06-23,32.4926
2020-06-24,34.2226
2020-06-25,34.8965
2020-06-26,33.5844
2020-06-27,32.7762
2020-06-28,35.1721
2020-06-29,31.0557
2020-06-30,34.2824
2020-07-01,35.5965
2020-07-02,36.7338
2020-07-03,35.3042
2020-07-04,35.0757
2020-07-05,34.1585
2020-07-06,31.5108
2020-07-07,32.3734
2020-07-08,34.8913
2020-07-09,34.1435
2020-07-10,32.4101
2020-07-11,33.3246
2020-07-12,34.7310
2020-07-13,35.5888
2020-07-14,32.8128
2020-07-15,34.5408
2020-07-16,34.6248
2020-07-17,35.8221
2020-07-18,35.9137
2020-07-19,34.3617
2020-07-20,32.2235
2020-07-21,32.5066
2020-07-22,34.9621
2020-07-23,33.7068
2020-07-24,33.7459
2020-07-25,34.0478
2020-07-26,35.4257
2020-07-27,36.0123
2020-07-28,32.9909
2020-07-29,31.4732
2020-07-30,33.5953
2020-07-31,34.8827
2020-08-01,34.0686
2020-08-02,34.1693
2020-08-03,33.3600
2020-08-04,34.0851
2020-08-05,32.3781
2020-08-06,31.3493
2020-08-07,33.2650
2020-08-08,33.4944
2020-08-09,32.5731
2020-08-10,33.3798
2020-08-11,33.5673
2020-08-12,30.8497
2020-08-13,30.6238
2020-08-14,32.4345
2020-08-15,33.0658
2020-08-16,33.2339
2020-08-17,33.1254
2020-08-18,32.2526
2020-08-19,31.8270
2020-08-20,33.1201
2020-08-21,30.6257
2020-08-22,31.5880
2020-08-23,32.7057
2020-08-24,32.5724
2020-08-25,32.8126
2020-08-26,30.9027
2020-08-27,31.4054
2020-08-28,30.5214
2020-08-29,29.9615
2020-08-30,33.1406
2020-08-31,34.4757
2020-09-01,34.1539
2020-09-02,30.5813
2020-09-03,33.5240
2020-09-04,34.4756
2020-09-05,35.0307
2020-09-06,35.1287
2020-09-07,35.4572
2020-09-08,34.7365
2020-09-09,35.6097
2020-09-10,34.6093
2020-09-11,34.3737
2020-09-12,34.0448
2020-09-13,34.5243
2020-09-14,35.1958
2020-09-15,34.0167
2020-09-16,35.2647
2020-09-17,35.4851
2020-09-18,35.8103
2020-09-19,34.4183
2020-09-20,34.4962
2020-09-21,34.4270
2020-09-22,31.6851
2020-09-23,30.2564
2020-09-24,29.9836
2020-09-25,32.2071
2020-09-26,34.7370
2020-09-27,33.7495
2020-09-28,34.5351
2020-09-29,34.4577
2020-09-30,34.0506
