DateTime,26.0 91.0
2023-01-01,9.8994
2023-01-02,9.9717
2023-01-03,10.4257
2023-01-04,10.6431
2023-01-05,9.8574
2023-01-06,10.1021
2023-01-07,10.0420
2023-01-08,10.6688
2023-01-09,9.3934
2023-01-10,9.7407
2023-01-11,9.7507
2023-01-12,9.5287
2023-01-13,9.5575
2023-01-14,10.0164
2023-01-15,10.9227
2023-01-16,9.9347
2023-01-17,9.7489
2023-01-18,8.0177
2023-01-19,7.5834
2023-01-20,8.1246
2023-01-21,8.4006
2023-01-22,9.2604
2023-01-23,9.9716
2023-01-24,10.2231
2023-01-25,10.9136
2023-01-26,11.3905
2023-01-27,12.2498
2023-01-28,12.6152
2023-01-29,12.7527
2023-01-30,12.9906
2023-01-31,14.2790
2023-02-01,14.9641
2023-02-02,12.2954
2023-02-03,11.7865
2023-02-04,12.2119
2023-02-05,12.4338
2023-02-06,12.1206
2023-02-07,11.2305
2023-02-08,13.0736
2023-02-09,13.3742
2023-02-10,13.7048
2023-02-11,13.4430
2023-02-12,13.8943
2023-02-13,11.7568
2023-02-14,10.1619
2023-02-15,11.7864
2023-02-16,12.6528
2023-02-17,13.7336
2023-02-18,14.1951
2023-02-19,15.2746
2023-02-20,16.2640
2023-02-21,16.6192
2023-02-22,17.6428
2023-02-23,16.7598
2023-02-24,16.2315
2023-02-25,15.4340
2023-02-26,14.4897
2023-02-27,14.1613
2023-02-28,14.3458
2023-03-01,15.8494
2023-03-02,15.7794
2023-03-03,16.0667
2023-03-04,16.0335
2023-03-05,16.5982
2023-03-06,17.6047
2023-03-07,15.8967
2023-03-08,15.8564
2023-03-09,16.3164
2023-03-10,15.9783
2023-03-11,16.6745
2023-03-12,16.7235
2023-03-13,17.0299
2023-03-14,17.6109
2023-03-15,18.2098
2023-03-16,16.2156
2023-03-17,17.2609
2023-03-18,17.3532
2023-03-19,17.6863
2023-03-20,17.0792
2023-03-21,16.8279
2023-03-22,16.1868
2023-03-23,16.3506
2023-03-24,17.0565
2023-03-25,17.0111
2023-03-26,19.0062
2023-03-27,18.7405
2023-03-28,17.4143
2023-03-29,17.7187
2023-03-30,18.7689
2023-03-31,18.5354
2023-04-01,18.0913
2023-04-02,16.5502
2023-04-03,17.2674
2023-04-04,18.5929
2023-04-05,19.2725
2023-04-06,18.8926
2023-04-07,18.1877
2023-04-08,19.1728
2023-04-09,19.1312
2023-04-10,19.9569
2023-04-11,19.2707
2023-04-12,19.5875
2023-04-13,20.1454
2023-04-14,21.1287
2023-04-15,21.9049
2023-04-16,21.9713
2023-04-17,22.8083
2023-04-18,24.0387
2023-04-19,23.5918
2023-04-20,22.4896
2023-04-21,21.9008
2023-04-22,19.3765
2023-04-23,19.7323
2023-04-24,17.9311
2023-04-25,19.6308
2023-04-26,19.5190
2023-04-27,20.5483
2023-04-28,19.8732
2023-04-29,20.9486
2023-04-30,20.5627
2023-05-01,20.6093
2023-05-02,20.6749
2023-05-03,20.8875
2023-05-04,21.2758
2023-05-05,21.0082
2023-05-06,21.6845
2023-05-07,21.7711
2023-05-08,22.2219
2023-05-09,23.0728
2023-05-10,23.1058
2023-05-11,21.8018
2023-05-12,22.5516
2023-05-13,22.1186
2023-05-14,22.4963
2023-05-15,21.3351
2023-05-16,20.9293
2023-05-17,20.1998
2023-05-18,20.1658
2023-05-19,21.7921
2023-05-20,22.1657
2023-05-21,21.9282
2023-05-22,21.4927
2023-05-23,23.6895
2023-05-24,21.0786
2023-05-25,21.6554
2023-05-26,20.5735
2023-05-27,21.1986
2023-05-28,21.5435
2023-05-29,22.3997
2023-05-30,23.2191
2023-05-31,24.5154
2023-06-01,24.8855
2023-06-02,24.0486
2023-06-03,24.5603
2023-06-04,24.3966
2023-06-05,24.6960
2023-06-06,25.3913
2023-06-07,25.5568
2023-06-08,26.3059
2023-06-09,24.5819
2023-06-10,24.4227
2023-06-11,24.3373
2023-06-12,23.4715
2023-06-13,24.1830
2023-06-14,23.9081
2023-06-15,23.1577
2023-06-16,23.0041
2023-06-17,23.4207
2023-06-18,23.2554
2023-06-19,23.3247
2023-06-20,23.6430
2023-06-21,23.7445
2023-06-22,24.4440
2023-06-23,24.8876
2023-06-24,25.4420
2023-06-25,25.6693
2023-06-26,25.2379
2023-06-27,25.1732
2023-06-28,24.7468
2023-06-29,24.5201
2023-06-30,24.7111
2023-07-01,24.7952
2023-07-02,24.7956
2023-07-03,25.1511
2023-07-04,24.9895
2023-07-05,24.7810
2023-07-06,25.3830
2023-07-07,25.0855
2023-07-08,25.2478
2023-07-09,25.4675
2023-07-10,25.8707
2023-07-11,25.8395
2023-07-12,25.2169
2023-07-13,25.3840
2023-07-14,25.0826
2023-07-15,25.0691
2023-07-16,25.3786
2023-07-17,24.8956
2023-07-18,25.0131
2023-07-19,25.6612
2023-07-20,26.5272
2023-07-21,25.5433
2023-07-22,26.0475
2023-07-23,26.1762
2023-07-24,25.4384
2023-07-25,25.1763
2023-07-26,25.0972
2023-07-27,25.3242
2023-07-28,25.1082
2023-07-29,25.2616
2023-07-30,25.4055
2023-07-31,25.8097
2023-08-01,25.9220
2023-08-02,26.4560
2023-08-03,25.2183
2023-08-04,25.1861
2023-08-05,24.7412
2023-08-06,25.1044
2023-08-07,25.5250
2023-08-08,25.2364
2023-08-09,25.1059
2023-08-10,25.2969
2023-08-11,25.1805
2023-08-12,25.5143
2023-08-13,25.2182
2023-08-14,25.0343
2023-08-15,25.5421
2023-08-16,25.4342
2023-08-17,25.9820
2023-08-18,25.9715
2023-08-19,26.0893
2023-08-20,26.2003
2023-08-21,25.8933
2023-08-22,25.3573
2023-08-23,23.9730
2023-08-24,24.7861
2023-08-25,24.4981
2023-08-26,24.5412
2023-08-27,24.8015
2023-08-28,24.0587
2023-08-29,24.1448
2023-08-30,25.1498
2023-08-31,25.7474
2023-09-01,26.2665
2023-09-02,26.3118
2023-09-03,25.9795
2023-09-04,25.8878
2023-09-05,25.9848
2023-09-06,25.8676
2023-09-07,25.5463
2023-09-08,25.2523
2023-09-09,25.2011
2023-09-10,25.2022
2023-09-11,25.2752
2023-09-12,25.7241
2023-09-13,25.2891
2023-09-14,25.6764
2023-09-15,25.2448
2023-09-16,25.2012
2023-09-17,25.8671
2023-09-18,25.3003
2023-09-19,24.3251
2023-09-20,23.8788
2023-09-21,23.8459
2023-09-22,23.9484
2023-09-23,23.9774
2023-09-24,23.3856
2023-09-25,23.6189
2023-09-26,24.1241
2023-09-27,24.7360
2023-09-28,24.9297
2023-09-29,24.8727
2023-09-30,25.1550
2023-10-01,24.2618
2023-10-02,24.8268
2023-10-03,24.5397
2023-10-04,24.0612
2023-10-05,23.3595
2023-10-06,23.1006
2023-10-07,23.3842
2023-10-08,23.7372
2023-10-09,23.1337
2023-10-10,22.8945
2023-10-11,23.5178
2023-10-12,23.2609
2023-10-13,21.7009
2023-10-14,21.9559
2023-10-15,21.8400
2023-10-16,21.3181
2023-10-17,20.9869
2023-10-18,19.6310
2023-10-19,20.3635
2023-10-20,19.8358
2023-10-21,19.4199
2023-10-22,19.0861
2023-10-23,19.5186
2023-10-24,19.6116
2023-10-25,19.6667
2023-10-26,19.6881
2023-10-27,19.6463
2023-10-28,18.6014
2023-10-29,17.8350
2023-10-30,18.5710
2023-10-31,19.3012
2023-11-01,18.7443
2023-11-02,18.3116
2023-11-03,19.0038
2023-11-04,18.7548
2023-11-05,17.6756
2023-11-06,18.0240
2023-11-07,17.4171
2023-11-08,16.8338
2023-11-09,16.7973
2023-11-10,16.3682
2023-11-11,16.6365
2023-11-12,16.2297
2023-11-13,15.8192
2023-11-14,16.2266
